parl_session,person,paragraphs,title,position
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви.
Има ли желаещи за изказване? Заповядайте, господин Костов.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfd64,"Господин Костов, по принцип аз съм съгласен с Вас. Този дебат с Вас го водихме в комисията и там стана дума точно за това допълнение “и други съоръжения за техническа инфраструктура”. В крайна сметка обединяващото беше, че става дума точно за този запис “други съоръжения за техническа инфраструктура”, а не други съоръжения за инфраструктура или други обекти от инфраструктурно значение. Посочвайки, че става дума за техническата инфраструктура, ние имаме предвид, че в Закона за устройство на територията не всичко е достатъчно прецизно изчерпано. Още повече когато се ползват земи от горския фонд, е необходимо и подвеждане към техническата инфраструктура. С цел това да не се явява бариера при изграждането на важни обекти от национално значение, които евентуално са изброени по-надолу, а и в другия закон, за който става дума, за да не създаваме такива колизии, решихме да приемем този запис.
Така че аз считам, че записът на т. 2 е достатъчно коректен и няма опасения от такъв характер, каквито Вие посочихте.",Васил Калинов,parl-member
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Костов.
Господин Калинов, имате думата.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfd2f,"Уважаема госпожо председател, уважаеми колеги! По принцип аз приемам текста на този параграф, както е предложен от комисията, само че искам да ползвам правото си, съгласно нашия правилник, да предложа отпадане на текст, а това е в ал. 1, т. 2, буква “а”, който гласи: “разположени върху повърхността на терена – пътища, жп линии, водни канали, лифтове, влекове и други съоръжения за техническа инфраструктура”. Аз искам да отпаднат думите “и други съоръжения за техническа инфраструктура”.
Какви са ми съображенията? В ал. 1, т. 2, буква “а” думите “и други съоръжения” не се уточнява какви са тези други съоръжения. Вкарва се един термин, който не можем да разберем какво значи. Създава се възможност за различна интерпретация. Защото в Закона за устройство на територията е посочено, че техническа инфраструктура е система от сгради, съоръжения и линейни инженерни мрежи на транспорт, водоснабдяване, канализация, далекосъобщения, хидромелиорации и т.н., описани в отделните текстове на т. 2, където изчерпателно се посочват всички тези неща, а освен това се добавя “и други”. Това страшно много разширява приложното поле на този закон – чиновникът да може да си интерпретира както иска това понятие “и други”. Както в Закона за устройство на територията, така и тук са изброени видовете технически съоръжения. Аз нямам нищо против да си сложат това “и други” и да си правят немалкото нарушения на този закон, да си правят разните игри помежду си, да го кажем по-точно. Ако това целим, добре. Но защо ще вкарваме в закона това?
Затова аз предлагам, тъй като това е един неясен и неточен текст с възможности за неточно и неадекватно третиране, да отпаднат думите “и други съоръжения за техническа инфраструктура”.
Ще имам и други случаи да говоря по този законопроект, защото в някои текстове виждам отново някакви елементи на услуга на някои структури или хора, или групи, които не бих искал да съществуват в това национално богатство, каквото представляват горите. Така че предпазвам народното представителство от един текст, който за мен не е много коректен.",Владислав Костов,parl-member
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Моллов.
Има ли изказвания по § 11?
Господин Костов, заповядайте.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 11 има направени предложения: от народния представител Панайот Ляков, неподкрепено от комисията; от народния представител Пламен Моллов – подкрепено от комисията; от народната представителка Теодора Литрова – неподкрепено от комисията; от народния представител Васил Калинов, което е подкрепено по принцип от комисията.
Комисията предлага следната редакция на § 11, който става § 10:
“§ 10. Член 14 се изменя така:
“Чл. 14. (1) Гори и земи от горския фонд се изключват при промяна на предназначението им за:
1. площадки за  изграждане на електроцентрали, язовири и други хидротехнически и електротехнически съоръжения, добив на подземни богатства, гробищни паркове, депа за отпадъци, претоварни станции;
2. трасета на линейни обекти:
а) разположени върху повърхността на терена – пътища, ж.п.линии, водни канали, лифтове, влекове и други съоръжения за техническа инфраструктура;
б) разположени под повърхността на терена – нефтопроводи, газопроводи, топлопроводи и водопроводи със сечение над 1500 мм;
3. създаване на нови или разширяване строителните граници на съществуващи урбанизирани територии (населени места и селищни образувания), както и създаване или разширяване границите на отделни урегулирани поземлени имоти извън тях;
4. създаване на нови или разширяване строителните граници на съществуващи урбанизирани територии (населени места и селищни образувания), както и създаване или разширяване границите на отделни урегулирани поземлени имоти извън тях в случаите, когато министърът на земеделието и горите е извършил възмездни разпоредителни действия с гори и земи от Държавния горски фонд, в които до 1 март 2003 г. е извършено застрояване по смисъла на чл. 12 от Закона за устройството на територията;
5. създаване на земи за земеделско ползване от недървопроизводителни земи в Държавния горски фонд;
6. обекти, свързани с националната сигурност, отбраната на страната, опазването и възпроизводството на околната среда.
(2) Забранява се изключването на гори и земи от горския фонд за срок 20 години след опожаряването им.
(3) Алинея 2 не се прилага в следните случаи:
1. когато промяната на предназначението е свързана с отбраната или сигурността на страната;
2. когато промяната на предназначението е свързана с изпълнението на инвестиционни проекти, одобрени с решение на Министерския съвет.”",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Калинов.
Има ли други изказвания по параграфа? Няма.
Преминаваме към гласуване.
Гласуваме предложението на народния представител Панайот Ляков, което не е подкрепено от комисията.
Гласували 105 народни представители: за 40, против 65, въздържали се няма.
Предложението не се приема.
Гласуваме предложението на Теодора Литрова, което не е подкрепено от комисията.
Гласували 109 народни представители: за 27, против 80, въздържали се 2.
Предложението не се приема.

Гласуваме предложението, направено от народния представител господин Костов в залата, в чл. 14, ал. 1, т. 2, в буква “а” думите “и други съоръжения за техническа инфраструктура” да отпаднат.
Моля, гласувайте.
Гласували 94 народни представители: за 32, против 61, въздържал се 1.
Предложението не се приема.
Гласуваме § 11, който става § 10, в редакцията, предложена от комисията.
Гласували 97 народни представители: за 78, против 5, въздържали се 14.
Параграфът се приема.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfd64,"Аз много добре разбирам, че това, за което спорим в момента, е изключително важно, защото става дума по какъв начин могат да бъдат изваждани земи от горския фонд. Цялото народно представителство разбира за какво става дума. Но аз обръщам внимание, колеги, на думата “техническа”, която по същество изяснява въпроса за какъв вид инфраструктура става въпрос. И тя достатъчно надлежно е дефинирана в законите, за които става дума. И аз мисля, че няма защо да спорим повече. Ако не беше упомената думата “техническа”, тогава можехме да водим този спор.",Васил Калинов,parl-member
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Костов.
Господин Калинов, заповядайте за дуплика.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfd2f,"Уважаеми господин Калинов, и така може да се интерпретира това, което казвате Вие, но аз го интерпретирам по друг начин. Значи съществува нещо, което трябва да се изясни. Ние с Вас го интерпретираме по два различни начина, но долу може да се интерпретира също така по различни начини, щом няма точно изброяване какво значи това “и други съоръжения”. Това е мисълта ми.
Второто ми съображение е, че генералният закон на тази тема това е Законът за устройство на територията. Тук трябва да се упомене какво значи това “и други”, а в специалния закон това “и други” не се упоменава какво значи и се отваря една врата всеки служител в НУК, горски или служител в Министерството на земеделието и горите да има своя интерпретация. Аз не искам да създаваме тази практика някой си да интерпретира законодателя, което не му е работата. Работата му е да изпълнява закона. Това са ми съображенията.",Владислав Костов,parl-member
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Калинов.
Господин Костов, заповядайте за реплика.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 12 има предложение от народния представител Пламен Моллов, което е подкрепено от комисията.
Комисията предлага следната редакция на § 12, който става § 15:
“§ 15. Създава се чл. 14д:
“Чл. 14д.	(1) Земеделските територии, залесени или самозалесили се след 1 март 2003 г., могат да се включват в горския фонд и се стопанисват съгласно този закон.
(2) Горите по ал. 1, включени в горския фонд, могат да се ползват отново като земеделски земи след писмено уведомление до държавното лесничейство.”
Госпожо председател, правя редакционна корекция датата “1 януари 2003 г.” да се замени с “1 март 2003 г.”, тъй като се очакваше законът да мине преди Нова година. На няколко други места също има промяна на датата.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Моллов.
Имате думата за изказвания по тези параграфи. Няма желаещи.
Подлагам на гласуване § 14, букви “б”, “в” и “г”, подкрепени от комисията.
Моля, гласувайте.
Гласували 99 народни представители: за 96, против няма, въздържали се 3.
Параграфите са приети.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"Направено е предложение от народния представител Пламен Моллов за създаване на § 14б, 14в и 14г, които са приети от комисията. Тя предлага да се създаде § 11б, който става § 12 със следното съдържание:
“§ 12. Създава се чл. 14б:
“Чл. 14б. (1) За строителството на обекти по чл. 14, ал. 1, т. 1 и 2, както и за създаване на нови или разширяване границите на съществуващи отделни урегулирани поземлени имоти извън урбанизираните територии (населени места и селищни образувания), собственикът или заинтересуваното лице прави искане пред началника на Националното управление по горите за предварително съгласуване на изключването на горите и земите от горския фонд.
(2) За изключване на гори и земи от горския фонд и за включването им в строителните граници на урбанизираните територии (населени места и селищни образувания), кметът на общината прави искане пред началника на Националното управление по горите за предварително съгласуване.
(3) За предварително съгласуване за изключване на гори и земи от горския фонд се представя задание, изготвено в съответствие с разпоредбите на Закона за устройство на територията. Началникът на Националното управление по горите се произнася с мотивирано становище в едномесечен срок от постъпване на искането.”
Комисията предлага да се създаде § 11в, който става § 13, със следното съдържание:
“§ 13. Създава се чл. 14в:
“Чл. 14в. (1) Заявление за изключване на гори и земи от горския фонд се подава от собственика или от заинтересуваното лице до началника на Националното управление по горите при наличие на действащ подробен устройствен план за поземлен имот или парцеларен план за определеното трасе.
(2) Към заявлението по ал. 1 се прилагат:
1. копие от документа за самоличност или удостоверение за актуално състояние на съдебната регистрация и копие от код по БУЛСТАТ на заявителя;
2. документ за собственост или документ, удостоверяващ правото да се строи в чужд имот;
3. скица на трасето или площадката с обозначени координатни точки;
4. действащ подробен устройствен план или парцеларен план;
5. доклад и удостоверение за оценка на горите и земите от горския фонд;
6. решение за оценка на въздействието върху околната среда, издадено по реда на Закона за опазване на околната среда;
7. писмени становища на структурите и териториалните звена на Националното управление по горите, в чийто териториален обхват на дейност се намират имотите.
(3) Заявлението за изключване се разглежда от постоянна комисия, назначена със заповед на началника на Националното управление по горите, която в едномесечен срок от дататата на подаването му се произнася с мотивирано решение за промяна на предназначението на горите и земите от горския фонд.”
Комисията предлага да се създаде § 11г, който става § 14:
“§ 14. Създава се чл. 14г:
“Чл. 14г. (1) Министърът на земеделието и горите издава заповед за изключване на горите и земите от горския фонд или предлага на Министерския съвет да вземе решение. Заповедта на министъра на земеделието и горите, съответно решението на Министерския съвет за изключване или отказ, подлежат на съдебно обжалване по реда на Закона за административното производство.
(2) По предложение на министъра на земеделието и горите областният управител продава, заменя или учредява ограничени вещни права върху горите и земите по ал. 1 по реда на Закона за държавната собственост на лицето, по чието искане е станало изключването.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Изказвания по този параграф? Няма.
Гласуваме § 11а, който става § 11, в редакцията, предложена от комисията.
Гласували 94 народни представители: за 92, против 2, въздържали се няма.
Параграфът е приет.
Моля, господин Моллов, да представите параграфите до 14г.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"Направено е предложение от народния представител Пламен Моллов за създаване на § 11а.
Комисията подкрепя предложението и предлага да се създаде § 11а, който става § 11, със следното съдържание:
“§ 11. Създава се чл. 14а:
“Чл. 14а. (1) Изключването на гори и земи от  горския фонд публична държавна собственост, както и частна държавна собственост с площ по-голяма от 100 дка, се извършва от Министерския съвет по предложение на министъра на земеделието и горите, а на площ до 100 дка частна държавна собственост – от министъра на земеделието и горите по предложение на началника на Националното управление по горите.
(2) Изключването на гори и земи от горския фонд, собственост на физически и юридически лица и на общини, с площ по-голяма от 100 дка се извършва от Министерския съвет по предложение на министъра на земеделието и горите, а до 100 дка – от министъра на земеделието и горите по предложение на началника на Националното управление по горите. Изключването на гори и земи от горския фонд, собственост на общини, се извършва след решение на общинския съвет.”",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Моллов.
Има ли желаещи за изказване по § 13?
Заповядайте, господин Костов.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 14 има направено предложение от народните представители Владислав Костов и Венцислав Върбанов, което не се подкрепя от комисията.
Предложение от народния представител Панайот Ляков, което комисията не подкрепя.
Предложение от народния представител Пламен Моллов, подкрепено от комисията.
Предложение от народния представител Васил Калинов, което не е подкрепено от комисията.
Предложение от народния представител Теодора Литрова, което комисията подкрепя по чл. 15а, ал. 2 и не подкрепя в останалата му част.
Комисията предлага следната редакция на § 14, който става § 17:
“§ 17. Създава се чл. 15а:
“Чл. 15а.	(1) Държавата може да купува гори и земи от горския фонд, собственост на физически и юридически лица и на общини по цени, определени с наредбата по чл. 19, ал. 1.
(2) С предимство се изкупуват гори и земи, разположени в защитени територии, както и гори със защитни и рекреационни функции.”",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"По него има предложения, но го прочетете, пък ще ги гласуваме поотделно.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"Комисията подкрепя текста на вносителя за § 13, който става § 16.
Ако ми разрешите да прочета и § 14?",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Има ли желаещи за изказване по § 12? Няма.
Подлагам на гласуване § 12 в редакцията, предложена от комисията.
Гласували 100 народни представители: за 97, против няма, въздържали се 3.
Параграфът е приет.",Председател Камелия Касабова,house-speaker
